Symbol,Name,Price,P/E,P/B,P/S,Volume,EV/EBITDA,EV/Gross_Profit,PE Percentile,PB Percentile,PS Percentile,EV/EBITDA Percentile,EV/Gross_Profit Percentile,RV Score
VNDA,Vanda Pharmaceuticals Inc.,6.37,58.37187789,0.67964124,1.41347976,676826,-3.6520194217612003,-0.144780912049837,89.86175115207374,7.373271889400922,50.69124423963134,1.3824884792626728,3.225806451612903,30.506912442396313
TROX,Tronox Holdings plc,16.79,5.25963896,1.08285478,0.75230643,1143938,5.821134663341646,6.008429858429858,16.129032258064516,22.580645161290324,29.953917050691246,27.1889400921659,58.986175115207374,30.967741935483872
GEO,Geo Group Inc (The) REIT,9.1,7.61093911,0.9413011,0.45532653,2083016,6.921407365491795,6.157214424366546,26.72811059907834,17.972350230414747,15.668202764976959,35.02304147465438,59.44700460829493,30.967741935483872
PRG,"PROG Holdings, Inc.",26.35,13.02545264,2.08991871,0.49606064,597028,5.052619811262566,1.622303721041342,44.70046082949309,61.29032258064516,17.972350230414747,21.658986175115206,10.138248847926267,31.152073732718893
DK,"Delek US Holdings, Inc.",25.74,7.23536276,1.8031604300000001,0.08979373,1585089,5.261740597878496,5.493506166624724,25.34562211981567,52.534562211981566,0.9216589861751152,24.42396313364055,52.995391705069125,31.244239631336406
URBN,"Urban Outfitters, Inc.",27.69,16.25844347,1.42331992,0.54343588,1497767,6.233367722138455,2.301118905605549,53.91705069124424,39.1705069124424,20.276497695852534,29.032258064516128,18.89400921658986,32.25806451612903
DXC,DXC Technology Company,28.89,9.6205547,1.32973219,0.44357742,1137515,5.257905650596164,5.698033707865169,35.944700460829495,35.944700460829495,13.824884792626728,23.963133640552996,54.83870967741935,32.903225806451616
PLAB,"Photronics, Inc.",17.64,9.80720872,1.28303917,1.30236887,530585,3.499626901988774,3.666357366941637,36.866359447004605,33.17972350230415,47.004608294930875,12.903225806451612,35.944700460829495,33.17972350230415
CWH,"Camping World Holdings, Inc.",23.0,6.96684379,6.43662849,0.13790511,1162745,6.491291862588813,2.150455091751187,23.502304147465438,93.08755760368663,2.304147465437788,31.336405529953918,16.129032258064516,33.27188940092166
PPC,Pilgrim's Pride Corporation,24.21,7.91142328,2.02523005,0.33493243,405633,5.19712962178279,4.967760300702297,28.110599078341014,58.986175115207374,8.294930875576037,23.502304147465438,47.92626728110599,33.364055299539174
