Symbol,Name,Price,Volume,P/E,PE Percentile,P/B,PB Percentile,P/S,PS Percentile,EV/EBITDA,EV/EBITDA Percentile,EV/Revenue,EV/Revenue Percentile,RV Score
ADD,Color Star Technology Co. Ltd. Ordinary Shares,2.0292,171694,,,0.36,,0.43,,-0.23,,1.0,,
ADEA,Adeia Inc. Common Stock,9.89,82144,7.64,,3.43,,2.41,,5.25,,3.77,,
ADES,Advanced Emissions Solutions Inc. Common Stock,2.88,10127,4.48,,0.59,,0.55,,2.39,,0.2,,
ADI,Analog Devices Inc. Common Stock,181.13,828359,27.74,,2.54,,7.55,,15.3,,7.75,,
ADM,Archer-Daniels-Midland Company Common Stock,80.38,1132691,10.32,,1.8,,0.44,,7.94,,0.52,,
ADMA,ADMA Biologics Inc Common Stock,3.525,399656,,,7.7,,5.16,,-19.05,,6.83,,
ADMP,Adamis Pharmaceuticals Corporation Common Stock,0.1498,2160168,,,15.3,,30.04,,-1.45,,28.74,,
ADN,Advent Technologies Holdings Inc. Class A Common Stock,1.725,77268,,,0.9,,10.89,,-0.34,,1.89,,
ADNT,Adient plc Ordinary Shares ,42.56,390869,,,1.73,,0.29,,8.99,,0.42,,
ADP,Automatic Data Processing Inc. Common Stock,221.33,586027,29.23,,30.5,,5.51,,19.61,,5.58,,
ADPT,Adaptive Biotechnologies Corporation Common Stock,8.355,268468,43.96,,2.6,,6.48,,-4.66,,4.41,,
ADSK,Autodesk Inc. Common Stock,199.385,558049,51.95,,37.01,,8.55,,37.72,,8.58,,
ADT,ADT Inc. Common Stock,7.545,558367,,,2.15,,1.1,,7.59,,2.61,,
ADTN,ADTRAN Holdings Inc. Common Stock,16.5,93592,,,1.3,,1.01,,,,1.3,,
ADTX,Aditxt Inc. Common Stock,1.12,31100,,,0.4,,1.33,,0.02,,-0.72,,
ADX,Adams Diversified Equity Fund Inc.,15.2162,64835,,,0.88,,,,,,,,
AE,Adams Resources & Energy Inc. Common Stock,58.07,12110,18.79,,0.84,,0.08,,2.32,,0.03,,
AEE,Ameren Corporation Common Stock,81.74,381670,19.57,,2.02,,2.64,,11.42,,4.56,,
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,0.87,1947,,,3.71,,0.13,,-0.47,,0.07,,
AEHR,Aehr Test Systems Common Stock,30.68,7953564,81.8,,17.63,,16.99,,77.87,,15.77,,
AEI,Alset Inc. Common Stock (TX),1.9455,3314,0.42,,0.12,,1.58,,1.57,,-13.51,,
AEIS,Advanced Energy Industries Inc. Common Stock,92.66,143159,17.4,,3.27,,1.9,,11.7,,1.9,,
AEM,Agnico Eagle Mines Limited Common Stock,46.805,769754,30.65,,1.32,,3.58,,9.57,,3.82,,
AEMD,Aethlon Medical Inc. Common Stock,0.4679,37504,,,0.67,,879.83,,0.36,,-357.29,,
AEO,American Eagle Outfitters Inc. Common Stock,14.46,2748014,23.16,,1.81,,0.58,,9.5,,0.88,,
AER,AerCap Holdings N.V. Ordinary Shares,65.6395,736364,3.02,,1.0,,2.23,,16.01,,9.44,,
AEVA,Aeva Technologies Inc. Common Stock,1.74,370660,,,0.98,,51.59,,-0.11,,2.22,,
AEY,ADDvantage Technologies Group Inc. Common Stock,1.46,31950,,,1.59,,0.2,,-46.8,,0.21,,
AEYE,AudioEye Inc. Common Stock,6.5001,2019,,,6.49,,2.59,,-6.21,,2.39,,
AEZS,Aeterna Zentaris Inc. Common Stock,3.19,10388,,,0.33,,3.95,,2.67,,-9.1,,
AFBI,Affinity Bancshares Inc. Common Stock (MD),15.7,140,14.9,,0.89,,3.32,,,,,,
AFG,American Financial Group Inc. Common Stock,135.29,115061,12.74,,2.82,,1.69,,,,1.78,,
AFL,AFLAC Incorporated Common Stock,67.46,569062,10.34,,1.87,,2.23,,,,2.32,,
AFRM,Affirm Holdings Inc. Class A Common Stock,12.455,5342083,,,1.6,,2.68,,-6.93,,4.55,,
AGAE,Allied Gaming & Entertainment Inc. Common Stock,1.3005,4542,,,0.57,,7.23,,-4.99,,6.76,,
AGCO,AGCO Corporation Common Stock,142.843,131622,11.86,,2.71,,0.83,,8.13,,0.89,,
AGE,AgeX Therapeutics Inc. Common Stock,0.6124,67,,,12.96,,438.42,,-5.38,,724.88,,
AGEN,Agenus Inc. Common Stock,1.935,1561767,,,,,6.27,,-3.19,,5.54,,
AGI,Alamos Gold Inc. Class A Common Shares,10.305,667674,113.0,,1.47,,4.89,,13.91,,4.73,,
AGL,agilon health inc. Common Stock,23.1,3547287,,,8.11,,3.48,,-87.95,,3.18,,
AGM,Federal Agricultural Mortgage Corporation Common Stock,144.445,28288,10.46,,1.99,,5.11,,,,,,
AGNC,AGNC Investment Corp. Common Stock,10.38,5609029,,,1.0,,,,,,,,
AGO,Assured Guaranty Ltd. Common Stock,60.1,90544,15.47,,0.76,,7.35,,,,9.38,,
AGR,Avangrid Inc. Common Stock,38.53,330179,16.78,,0.76,,1.86,,10.79,,3.03,,
AGRO,Adecoagro S.A. Common Shares,8.155,70107,5.58,,0.79,,0.69,,4.46,,1.6,,
AGRX,Agile Therapeutics Inc. Common Stock,0.2498,102400,,,1.79,,0.34,,-0.11,,0.86,,
AGTI,Agiliti Inc. Common Stock,18.48,45411,72.89,,2.8,,2.4,,13.98,,3.32,,
AGX,Argan Inc. Common Stock,39.09,14202,26.14,,1.95,,1.25,,5.75,,0.53,,
AGYS,Agilysys Inc. Common Stock (DE),80.375,31795,194.9,,18.0,,10.76,,114.89,,10.22,,
AHT,Ashford Hospitality Trust Inc Common Stock,4.74,132573,,,0.32,,0.15,,12.89,,2.96,,
AI,C3.ai Inc. Class A Common Stock,21.04,4721557,,,2.4,,8.21,,-5.94,,5.37,,
AIG,American International Group Inc. New Common Stock,60.14,1117698,4.69,,1.14,,0.85,,,,1.25,,
AIM,AIM ImmunoTech Inc. Common Stock,0.54,36633,1.48,,0.57,,176.0,,0.55,,-84.19,,
AIMC,Altra Industrial Motion Corp. Common Stock,61.605,844753,236.62,,2.1,,2.07,,24.51,,2.52,,
AIMD,Ainos Inc. Common Stock,0.6467,4697,,,0.41,,3.66,,-1.55,,5.45,,
AIN,Albany International Corporation Common Stock,99.395,77787,33.33,,3.65,,3.08,,15.35,,3.19,,
AINC,Ashford Inc. (Holding Company) Common Stock,13.36,304,,,0.33,,0.06,,11.07,,0.93,,
AIR,AAR Corp. Common Stock,55.08,23056,21.81,,1.84,,1.07,,13.52,,1.14,,
AIRC,Apartment Income REIT Corp. Common Stock,37.1,100649,6.51,,2.61,,7.65,,6.36,,11.85,,
AIRI,Air Industries Group Common Stock,4.8072,3834,10.57,,0.86,,0.27,,7.46,,0.79,,
AIRS,AirSculpt Technologies Inc. Common Stock,5.54,109650,,,4.47,,1.93,,-138.1,,2.56,,
AIRT,Air T Inc. Common Stock,22.25,23,64.56,,3.07,,0.3,,13.83,,0.93,,
AIT,Applied Industrial Technologies Inc. Common Stock,141.8,35060,18.34,,4.26,,1.34,,12.67,,1.44,,
AIV,Apartment Investment and Management Company Common Stock,7.52,264996,15.18,,2.04,,5.9,,6.05,,10.88,,
AIZ,Assurant Inc. Common Stock,125.12,96868,25.23,,1.59,,0.68,,,,0.72,,
AJG,Arthur J. Gallagher & Co. Common Stock,186.2,165192,36.1,,4.35,,4.71,,20.33,,5.37,,
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,56.26,185795,62.48,,8.38,,2.09,,24.72,,2.03,,
AKA,a.k.a. Brands Holding Corp. Common Stock,1.39,3398,,,0.45,,0.28,,11.86,,0.49,,
AKAM,Akamai Technologies Inc. Common Stock,73.295,397090,22.41,,2.62,,3.24,,10.69,,3.73,,
AKBA,Akebia Therapeutics Inc. Common Stock,0.9221,1032477,,,9.83,,0.45,,-0.91,,0.31,,
AKR,Acadia Realty Trust Common Stock,14.43,224615,70.54,,0.82,,4.24,,21.21,,9.81,,
AKTX,Akari Therapeutics plc ADS,0.3191,5044,,,3.27,,,,-1.04,,,,
AKU,Akumin Inc. Common Stock (DE),1.26,14732,72.0,,,,0.15,,17.35,,2.04,,
AKYA,Akoya BioSciences Inc. Common Stock,11.305,26136,,,6.22,,6.62,,-7.61,,6.46,,
AL,Air Lease Corporation Class A Common Stock,42.96,381905,,,0.72,,2.09,,25.77,,9.79,,
ALB,Albemarle Corporation Common Stock,249.01,920552,11.06,,3.71,,4.07,,11.0,,4.29,,
ALBO,Albireo Pharma Inc. Common Stock,44.38,70538,,,9.17,,15.02,,-6.07,,13.02,,
ALC,Alcon Inc. Ordinary Shares,67.79,291133,61.47,,1.77,,4.02,,21.97,,4.34,,
ALCO,Alico Inc. Common Stock,25.5299,13181,,,0.81,,2.22,,15.35,,3.67,,
ALDX,Aldeyra Therapeutics Inc. Common Stock,7.41,380097,,,2.56,,,,-3.9,,,,
ALE,Allete Inc.,61.595,62046,18.11,,1.3,,2.18,,12.69,,3.44,,
ALG,Alamo Group Inc. Common Stock,184.34,14482,20.98,,2.63,,1.32,,11.39,,1.47,,
ALGM,Allegro MicroSystems Inc. Common Stock,43.8,406695,56.0,,9.36,,9.31,,36.22,,8.92,,
ALGN,Align Technology Inc. Common Stock,308.91,209626,67.14,,6.58,,6.5,,29.29,,6.12,,
