Symbol,Name,Price,Volume,P/E,PE Percentile,P/B,PB Percentile,P/S,PS Percentile,EV/EBITDA,EV/EBITDA Percentile,EV/Revenue,EV/Revenue Percentile,RV Score
CNET,ZW Data Action Technologies Inc. Common Stock,1.455,21265,,,0.63,,0.3,,-1.79,,0.31,,
CNHI,CNH Industrial N.V. Common Shares,16.535,2626658,11.05,,3.19,,0.95,,11.92,,1.73,,
CNK,Cinemark Holdings Inc Cinemark Holdings Inc. Common Stock,13.4,636441,8.29,,14.67,,0.65,,31.12,,1.92,,
CNM,Core & Main Inc. Class A Common Stock,23.615,260618,11.18,,2.39,,0.89,,6.37,,0.89,,
CNMD,CONMED Corporation Common Stock,96.11,95384,,,3.94,,2.76,,143.66,,3.79,,
CNNE,Cannae Holdings Inc. Common Stock,21.98,67733,,,0.62,,2.73,,-5.7,,2.58,,
CNO,CNO Financial Group Inc. Common Stock,25.515,153477,7.6,,2.09,,0.84,,,,1.88,,
CNOB,ConnectOne Bancorp Inc. Common Stock,24.16,24217,8.06,,0.89,,3.04,,,,,,
CNP,CenterPoint Energy Inc (Holding Co) Common Stock,27.705,1397165,17.21,,1.86,,1.86,,10.62,,3.68,,
CNQ,Canadian Natural Resources Limited Common Stock,58.65,1276067,7.71,,2.3,,1.89,,3.28,,1.49,,
CNS,Cohen & Steers Inc Common Stock,70.215,33855,20.59,,10.39,,6.21,,14.51,,5.97,,
CNSL,Consolidated Communications Holdings Inc. Common Stock,3.065,559270,,,0.47,,0.27,,6.97,,2.01,,
CNTY,Century Casinos Inc. Common Stock,9.1,18061,19.3,,1.99,,0.71,,8.04,,1.97,,
CNX,CNX Resources Corporation Common Stock,15.68,1050761,,,0.89,,0.74,,13.21,,1.27,,
CNXC,Concentrix Corporation Common Stock,135.97,65774,16.43,,2.63,,1.11,,9.3,,1.45,,
CNXN,PC Connection Inc. Common Stock,44.25,12549,13.0,,1.51,,0.37,,7.82,,0.33,,
COCO,The Vita Coco Company Inc. Common Stock,17.03,107746,132.77,,6.76,,2.27,,83.01,,2.24,,
COCP,Cocrystal Pharma Inc. Common Stock,1.92,6420,,,0.36,,,,0.69,,,,
CODA,Coda Octopus Group Inc. Common stock,6.99,1114,18.18,,1.74,,3.51,,9.85,,2.61,,
CODX,Co-Diagnostics Inc. Common Stock,2.95,9131,5.98,,0.66,,1.74,,0.25,,0.05,,
COFS,ChoiceOne Financial Services Inc. Common Stock,28.49,604,9.11,,1.28,,2.65,,,,,,
COHN,Cohen & Company Inc.,8.8,314,,,0.31,,0.37,,-46.09,,10.44,,
COHR,Coherent Corp. Common Stock,41.775,927408,30.96,,1.27,,1.23,,18.15,,2.8,,
COHU,Cohu Inc. Common Stock,37.57,46809,19.06,,1.92,,2.27,,8.46,,1.84,,
COIN,Coinbase Global Inc. Class A Common Stock,60.675,11058789,,,2.74,,4.5,,-4.67,,4.12,,
COKE,Coca-Cola Consolidated Inc. Common Stock,552.98,15342,12.07,,4.64,,0.84,,7.49,,0.93,,
COLB,Columbia Banking System Inc. Common Stock,28.955,1730521,9.36,,1.06,,3.24,,,,,,
COLM,Columbia Sportswear Company Common Stock,88.635,53041,17.62,,2.8,,1.59,,9.83,,1.55,,
COMM,CommScope Holding Company Inc. Common Stock,7.51,1209114,,,,,0.19,,-802.62,,1.3,,
COMP,Compass Inc. Class A Common Stock,2.88,1480959,,,2.08,,0.2,,-3.3,,0.26,,
COMS,ComSovereign Holding Corp. Common Stock,3.77,156778,,,68.35,,0.23,,-0.25,,2.69,,
CONN,Conn's Inc. Common Stock,8.52,25128,7.16,,0.37,,0.15,,18.07,,0.83,,
COOP,Mr. Cooper Group Inc. Common Stock,46.51,80867,3.7,,0.79,,1.25,,7.74,,3.02,,
CORR,CorEnergy Infrastructure Trust Inc. Common Stock,1.535,15319,96.74,,,,0.18,,13.42,,2.65,,
COSM,Cosmos Health Inc. Common Stock,3.2031,228632,,,10.13,,0.05,,-208.86,,1.09,,
COST,Costco Wholesale Corporation Common Stock,482.2,537389,36.18,,9.89,,0.92,,21.02,,0.91,,
COTY,Coty Inc. Class A Common Stock,11.445,1644907,86.92,,2.73,,1.86,,14.53,,2.64,,
COUR,Coursera Inc. Common Stock,11.06,354064,,,2.43,,3.13,,-6.19,,1.76,,
CP,Canadian Pacific Railway Limited Common Stock,77.42,814632,27.35,,2.47,,10.91,,15.11,,9.69,,
CPA,Copa Holdings S.A. Copa Holdings S.A. Class A Common Stock,93.435,81022,9.81,,2.55,,1.4,,8.81,,1.63,,
CPB,Campbell Soup Company Common Stock,52.175,574018,19.66,,4.48,,1.76,,12.91,,2.28,,
CPE,Callon Petroleum Company Common Stock,39.75,364908,2.04,,0.79,,0.76,,2.67,,1.45,,
CPF,Central Pacific Financial Corp New,22.01,27022,8.37,,1.34,,2.35,,,,,,
CPG,Crescent Point Energy Corporation Ordinary Shares (Canada),7.21,2881601,2.67,,0.74,,1.44,,1.26,,1.26,,
CPHC,Canterbury Park Holding Corporation 'New' Common Stock,26.1,440,9.74,,1.81,,1.89,,5.03,,1.6,,
CPHI,China Pharma Holdings Inc. Common Stock,0.0657,2248632,,,1.26,,0.42,,-47.27,,1.44,,
CPIX,Cumberland Pharmaceuticals Inc. Common Stock,2.27,111,,,0.85,,0.81,,-25.66,,0.76,,
CPK,Chesapeake Utilities Corporation Common Stock,126.17,12519,24.87,,2.67,,3.28,,13.6,,4.46,,
CPNG,Coupang Inc. Class A Common Stock,13.94,6738181,,,10.77,,1.26,,150.86,,1.21,,
CPRI,Capri Holdings Limited Ordinary Shares,49.67,587759,9.34,,2.8,,1.2,,8.48,,1.61,,
CPRT,Copart Inc. (DE) Common Stock,70.29,417171,31.16,,6.38,,9.16,,21.03,,8.63,,
CPRX,Catalyst Pharmaceuticals Inc. Common Stock,15.4199,342838,25.34,,5.96,,8.86,,16.07,,7.08,,
CPS,Cooper-Standard Holdings Inc. Common Stock,15.885,38394,4.26,,2.53,,0.11,,,,0.48,,
CPSH,CPS Technologies Corp. Common Stock,3.025,9229,21.43,,2.82,,1.65,,14.67,,1.44,,
CPSI,Computer Programs and Systems Inc. Common Stock,30.19,20474,28.29,,1.92,,1.34,,12.21,,1.78,,
CPSS,Consumer Portfolio Services Inc. Common Stock,11.18,9046,3.38,,1.05,,1.28,,,,,,
CPT,Camden Property Trust Common Stock,112.5,170367,19.0,,2.46,,8.74,,11.75,,11.19,,
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,50.5,40907,16.21,,,,1.49,,10.26,,2.39,,
CR,Crane Holdings Co. Common Stock,121.44,58584,16.68,,3.52,,2.03,,9.8,,2.17,,
CRBG,Corebridge Financial Inc. Common Stock,20.46,479072,1.63,,1.61,,0.5,,2.53,,1.05,,
CRBP,Corbus Pharmaceuticals Holdings Inc. Common Stock,3.095,77244,,,0.28,,,,0.89,,,,
CRBU,Caribou Biosciences Inc. Common Stock,5.89,61287,,,1.13,,28.77,,-1.08,,8.05,,
CRCT,Cricut Inc. Class A Common Stock,10.02,14672,34.11,,2.84,,2.13,,16.02,,1.94,,
CRDF,Cardiff Oncology Inc. Common Stock,1.7,40650,,,0.7,,192.95,,0.83,,-82.8,,
CRDL,Cardiol Therapeutics Inc. Class A Common Shares,0.505,23035,,,0.8,,,,0.33,,,,
CREG,Smart Powerr Corp. Common Stock,1.62,8579,,,0.11,,,,8.82,,,,
CRESY,Cresud S.A.C.I.F. y A. American Depositary Shares,7.53,112724,16.74,,0.72,,1.15,,-0.26,,0.02,,
CREX,Creative Realities Inc. Common Stock,0.6888,11745,34.5,,0.57,,0.32,,5.18,,0.82,,
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,7.625,339946,,,1.05,,,,,,,,
CRGE,Charge Enterprises Inc. Common Stock,1.1208,94718,,,8.17,,0.37,,-11.23,,0.36,,
CRGY,Crescent Energy Company Class A Common Stock,11.76,56166,1.78,,0.66,,0.2,,1.69,,0.7,,
CRH,CRH PLC American Depositary Shares,51.58,948177,12.94,,1.66,,1.1,,6.64,,1.18,,
CRIS,Curis Inc. Common Stock,0.623,194045,,,1.09,,5.58,,0.62,,-3.24,,
CRK,Comstock Resources Inc. Common Stock,12.25,1023740,3.03,,1.52,,0.95,,2.74,,1.56,,
CRL,Charles River Laboratories International Inc. Common Stock,222.73,167873,23.51,,3.82,,2.88,,14.43,,3.58,,
CRM,Salesforce Inc. Common Stock,185.9271,24122510,643.65,,2.82,,5.53,,40.51,,5.59,,
CRNC,Cerence Inc. Common Stock,26.66,71977,,,1.53,,3.41,,-7.07,,4.07,,
CRON,Cronos Group Inc. Common Share,2.08,1024518,65.31,,0.71,,8.7,,0.63,,-0.71,,
CROX,Crocs Inc. Common Stock,124.98,244065,14.29,,9.4,,2.17,,11.29,,2.84,,
CRS,Carpenter Technology Corporation Common Stock,50.29,48947,905.5,,1.77,,1.09,,17.45,,1.44,,
CRSP,CRISPR Therapeutics AG Common Shares,48.192,317391,22.55,,2.06,,,,-3.54,,,,
CRSR,Corsair Gaming Inc. Common Stock,17.1109,79045,,,2.85,,1.23,,,,1.4,,
CRT,Cross Timbers Royalty Trust Common Stock,19.4,70196,11.46,,40.31,,10.73,,11.26,,10.53,,
CRTO,Criteo S.A. American Depositary Shares,32.42,36208,236.79,,1.77,,1.03,,8.18,,0.79,,
CRUS,Cirrus Logic Inc. Common Stock,103.69,97950,18.15,,3.31,,2.94,,10.93,,2.67,,
CRVL,CorVel Corp. Common Stock,183.035,30727,48.16,,16.21,,4.62,,27.55,,4.42,,
CRVS,Corvus Pharmaceuticals Inc. Common Stock,0.6997,18644,,,0.54,,,,0.33,,,,
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,119.44,1326718,,,21.44,,13.69,,-803.34,,13.01,,
CRWS,Crown Crafts Inc Common Stock,5.63,2977,7.82,,1.16,,0.72,,4.54,,0.7,,
CS,Credit Suisse Group American Depositary Shares,2.785,25413624,,,0.25,,0.57,,,,,,
CSBR,Champions Oncology Inc. Common Stock,4.62,354,463.0,,6.84,,1.18,,26.55,,1.13,,
CSCO,Cisco Systems Inc. Common Stock (DE),48.31,6043162,17.71,,4.77,,3.76,,11.37,,3.48,,
CSGP,CoStar Group Inc. Common Stock,70.37,540661,75.3,,4.15,,12.76,,41.82,,11.28,,
CSGS,CSG Systems International Inc. Common Stock,56.87,31855,40.56,,5.03,,1.64,,13.78,,1.95,,
CSIQ,Canadian Solar Inc. Common Shares (ON),41.05,235223,15.36,,1.5,,0.42,,14.75,,0.79,,
CSL,Carlisle Companies Incorporated Common Stock,257.53,109639,14.69,,4.37,,2.06,,10.07,,2.34,,
CSPI,CSP Inc. Common Stock,11.26,246,15.64,,1.29,,0.8,,8.15,,0.62,,
CSSE,Chicken Soup for the Soul Entertainment Inc. Class A Common Stock,4.05,32298,,,0.68,,0.38,,-28.28,,3.04,,
CSTL,Castle Biosciences Inc. Common Stock,23.575,77750,478.0,,1.61,,5.25,,-7.04,,3.0,,
CSTM,Constellium SE Ordinary Shares (France),16.4,170708,7.52,,3.06,,0.28,,6.89,,0.53,,
CSV,Carriage Services Inc. Common Stock,33.91,29254,13.48,,3.8,,1.5,,10.88,,3.06,,
CSX,CSX Corporation Common Stock,30.915,2957665,15.64,,4.99,,4.4,,10.36,,5.34,,
CTAS,Cintas Corporation Common Stock,431.9,61098,34.92,,12.71,,5.34,,22.18,,5.57,,
CTG,Computer Task Group Inc. Common Stock,7.52,1672,17.07,,1.11,,0.35,,7.9,,0.34,,
CTGO,Contango ORE Inc. Common Stock,23.41,18,,,24.32,,,,-5.24,,,,
CTHR,Charles & Colvard Ltd Common Stock,0.863,8219,9.99,,0.46,,0.73,,-12.58,,0.49,,
CTIB,Yunhong CTI Ltd. Common Stock,1.8707,20967,,,29.77,,0.65,,-3.95,,2.17,,
CTIC,CTI BioPharma Corp. (DE) Common Stock,5.4,635502,,,,,17.9,,-6.7,,20.25,,
CTKB,Cytek Biosciences Inc. Common Stock,9.465,298663,474.5,,3.01,,8.02,,248.68,,5.81,,
CTLP,Cantaloupe Inc. Common Stock,5.77,103590,,,2.77,,1.81,,-169.87,,1.92,,
CTM,Castellum Inc. Common Stock,0.94,27530,,,2.49,,0.53,,-11.21,,1.22,,
CTO,CTO Realty Growth Inc. Common Stock,17.44,52855,15.16,,0.8,,3.95,,19.95,,9.58,,
CTRA,Coterra Energy Inc. Common Stock,25.545,2473034,4.97,,1.53,,2.23,,3.08,,2.36,,
CTRE,CareTrust REIT Inc. Common Stock,19.71,115498,,,2.3,,10.14,,36.55,,14.21,,
CTRN,Citi Trends Inc. Common Stock,26.33,28339,3.58,,1.42,,0.27,,4.12,,0.51,,
CTS,CTS Corporation Common Stock,43.965,18639,24.02,,2.78,,2.44,,12.06,,2.32,,
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,62.0,475805,14.2,,2.59,,1.67,,8.58,,1.59,,
CTSO,Cytosorbents Corporation Common Stock,3.2301,5771,,,3.59,,4.46,,-3.95,,4.18,,
CTVA,Corteva Inc. Common Stock ,62.97,782509,37.52,,1.75,,2.59,,15.54,,2.43,,
CTXR,Citius Pharmaceuticals Inc. Common Stock,1.12,217808,,,1.69,,,,-4.32,,,,
CUBA,Herzfeld Caribbean Basin Fund Inc. (The) Common Stock,3.9242,3376,2.01,,0.86,,1.99,,,,,,
CUBE,CubeSmart Common Shares,46.61,412995,36.26,,3.72,,10.46,,19.37,,13.43,,
CUEN,Cuentas Inc. Common Stock,0.7801,50779,,,4.02,,5.28,,-1.4,,7.18,,
CUK,Carnival Plc ADS ADS,9.405,1006395,5.81,,1.76,,0.93,,-20.08,,3.62,,
CULP,Culp Inc. Common Stock,5.48,4828,39.5,,0.66,,0.26,,-3.85,,0.21,,
CURO,CURO Group Holdings Corp. Common Stock,2.675,61717,,,,,0.19,,,,,,
CURV,Torrid Holdings Inc. Common Stock,2.693,15008,8.41,,,,0.22,,4.15,,0.64,,
CUTR,Cutera Inc. Common Stock,31.79,161879,,,41.66,,2.47,,-10.03,,2.83,,
CUZ,Cousins Properties Incorporated Common Stock,24.52,439745,22.06,,0.8,,4.83,,11.38,,7.99,,
CVBF,CVB Financial Corporation Common Stock,23.66,142178,14.42,,1.72,,6.1,,,,,,
CVCO,Cavco Industries Inc. Common Stock When Issued,286.25,26262,10.48,,2.61,,1.19,,6.33,,0.97,,
CVCY,Central Valley Community Bancorp Common Stock,25.33,16468,11.23,,1.71,,3.58,,,,,,
CVE,Cenovus Energy Inc Common Stock,18.99,2080033,7.94,,1.79,,0.71,,2.95,,0.57,,
CVEO,Civeo Corporation (Canada) Common Shares,23.805,166294,17.69,,1.6,,0.58,,5.69,,0.89,,
CVGI,Commercial Vehicle Group Inc. Common Stock,8.165,29904,21.11,,1.97,,0.28,,9.37,,0.43,,
CVGW,Calavo Growers Inc. Common Stock,32.82,17844,98.06,,2.55,,0.48,,40.82,,0.53,,
CVI,CVR Energy Inc. Common Stock,33.06,264197,7.27,,6.33,,0.31,,3.8,,0.41,,
CVLG,Covenant Logistics Group Inc. Class A Common Stock,35.13,6499,5.05,,1.25,,0.45,,3.95,,0.47,,
CVLT,Commvault Systems Inc. Common Stock,58.33,41874,173.18,,10.09,,3.43,,50.84,,3.0,,
CVLY,Codorus Valley Bancorp Inc Common Stock,24.81,1677,11.86,,1.35,,2.64,,,,,,
CVM,Cel-Sci Corporation Common Stock,2.3031,40626,,,4.16,,,,-3.46,,,,
CVNA,Carvana Co. Class A Common Stock,9.06,7083653,,,,,0.07,,-4.35,,0.69,,
CVR,Chicago Rivet & Machine Co. Common Stock,30.34,1546,6.63,,0.87,,0.82,,10.11,,0.58,,
CVS,CVS Health Corporation Common Stock,81.76,3154588,26.61,,1.51,,0.34,,13.34,,0.5,,
CVU,CPI Aerostructures Inc. Common Stock,3.86,8265,26.0,,0.39,,0.56,,16.77,,0.87,,
CVV,CVD Equipment Corporation Common Stock,11.54,44021,,,3.71,,4.4,,-40.61,,3.93,,
CVX,Chevron Corporation Common Stock,162.37,2187290,8.79,,1.92,,1.32,,4.66,,1.32,,
CW,Curtiss-Wright Corporation Common Stock,177.01,21786,23.1,,3.38,,2.66,,14.39,,3.09,,
CWAN,Clearwater Analytics Holdings Inc. Class A Common Stock,16.27,249018,,,11.72,,10.1,,290.58,,9.82,,
CWBC,Community West Bancshares Common Stock,15.16,12308,10.01,,1.18,,2.7,,,,,,
CWBR,CohBar Inc. Common Stock,1.8623,825,,,0.32,,,,1.81,,,,
CWCO,Consolidated Water Co. Ltd. Ordinary Shares,15.28,14405,28.2,,1.5,,2.85,,21.86,,2.31,,
CWEN,Clearway Energy Inc. Class C Common Stock,30.64,189726,6.17,,1.61,,3.03,,4.66,,8.61,,
CWH,Camping World Holdings Inc. Class A Common Stock,21.915,459768,6.97,,6.75,,0.14,,7.19,,0.67,,
CWST,Casella Waste Systems Inc. Class A Common Stock,76.89,26358,75.06,,8.03,,3.69,,20.59,,4.22,,
CWT,California Water Service Group Common Stock,56.0,43393,38.29,,2.41,,3.68,,16.63,,5.01,,
CX,Cemex S.A.B. de C.V. Sponsored ADR,5.425,5738074,14.42,,0.72,,0.49,,6.84,,1.02,,
CXDO,Crexendo Inc. Common Stock,1.9,18370,,,0.74,,1.23,,-35.45,,1.33,,
CXE,MFS High Income Municipal Trust Common Stock,3.449,48946,,,0.85,,,,,,,,
CXH,MFS Investment Grade Municipal Trust Common Stock,7.09,7111,,,0.85,,,,,,,,
CXM,Sprinklr Inc. Class A Common Stock,10.85,195862,,,5.41,,4.71,,-36.6,,3.86,,
CXW,CoreCivic Inc. Common Stock,9.655,206327,9.43,,0.77,,0.63,,6.2,,1.27,,
CYAN,Cyanotech Corporation Common Stock,1.18,2023,,,0.41,,0.28,,22.27,,0.65,,
CYBN,Cybin Inc. Common Shares,0.4665,965519,,,2.19,,,,-1.26,,,,
CYCC,Cyclacel Pharmaceuticals Inc. Common Stock,0.7905,28157,,,0.45,,74.57,,0.46,,6.1,,
CYCN,Cyclerion Therapeutics Inc. Common Stock,0.6381,23722,,,1.78,,61.36,,0.51,,-51.22,,
CYD,China Yuchai International Limited Common Stock,8.07,1262,11.48,,0.28,,0.16,,-0.12,,-0.0,,
CYH,Community Health Systems Inc. Common Stock,5.82,484522,17.57,,,,0.07,,7.51,,1.07,,
CYN,Cyngn Inc. Common Stock,1.0325,76907,,,1.17,,,,-0.43,,,,
CYRX,CryoPort Inc. Common Stock,21.73,80873,,,1.94,,4.55,,-34.39,,4.2,,
CYT,Cyteir Therapeutics Inc. Common Stock,1.54,25801,,,0.36,,,,1.97,,,,
CYTH,Cyclo Therapeutics Inc. Common Stock,1.35,11562,,,2.47,,6.49,,-0.71,,5.38,,
CYTK,Cytokinetics Incorporated Common Stock,40.07,619447,,,,,25.34,,-16.88,,26.64,,
CYTO,Altamira Therapeutics Ltd. 0.2 Common Shares (Bermuda),2.35,3386,3.38,,0.42,,1.33,,-0.49,,6.7,,
CZFS,Citizens Financial Services Inc. Common Stock,86.89,622,11.48,,1.67,,4.08,,,,,,
CZNC,Citizens & Northern Corp Common Stock,22.34,1083,13.07,,1.39,,3.26,,,,,,
CZR,Caesars Entertainment Inc. Common Stock,50.385,682455,16.59,,2.97,,1.01,,12.15,,3.27,,
CZWI,Citizens Community Bancorp Inc. Common Stock,12.36,449,7.31,,0.77,,1.95,,,,,,
D,Dominion Energy Inc. Common Stock,54.245,1836518,51.5,,1.78,,2.67,,13.03,,5.46,,
DAC,Danaos Corporation Common Stock,58.84,48322,2.12,,0.49,,1.27,,2.14,,1.63,,
DAIO,Data I/O Corporation Common Stock,4.425,4283,,,2.1,,1.64,,-39.15,,1.21,,
DAL,Delta Air Lines Inc. Common Stock,38.11,1975154,18.61,,3.74,,0.49,,9.64,,0.96,,
DALN,DallasNews Corporation Series A Common Stock,4.62,1332,3.62,,0.96,,0.16,,-1.66,,0.05,,
DAN,Dana Incorporated Common Stock ,15.69,187818,215.0,,1.46,,0.22,,9.42,,0.45,,
DAR,Darling Ingredients Inc. Common Stock,63.82,337098,14.24,,2.69,,1.61,,9.67,,2.09,,
DARE,Dare Bioscience Inc. Common Stock,1.08,27265,,,3.48,,8.33,,-2.1,,5.18,,
DASH,DoorDash Inc. Class A Common Stock,54.46,1517214,,,3.13,,3.04,,-17.64,,2.75,,
DATS,DatChat Inc. Common Stock,0.639,24723,,,0.86,,269.58,,0.06,,-20.97,,
DAWN,Day One Biopharmaceuticals Inc. Common Stock,18.22,267605,,,3.76,,,,-7.9,,,,
DB,Deutsche Bank AG Common Stock,12.105,1306810,4.95,,2.79,,0.94,,,,,,
DBD,Diebold Nixdorf Incorporated Common Stock,3.335,453654,,,,,0.07,,-22.24,,0.73,,
DBGI,Digital Brands Group Inc. Common Stock,1.3,176698,,,,,0.03,,-0.92,,1.39,,
DBI,Designer Brands Inc. Class A Common Stock,9.825,292985,5.45,,1.62,,0.21,,6.45,,0.53,,
DBRG,DigitalBridge Group Inc.,12.12,392035,,,2.32,,1.69,,20.25,,6.55,,
DBX,Dropbox Inc. Class A Common Stock,20.465,926615,13.52,,,,3.21,,16.17,,3.57,,
DC,Dakota Gold Corp. Common Stock,2.9,79006,,,2.07,,,,-7.64,,,,
DCBO,Docebo Inc. Common Shares,35.3,5708,300.33,,6.29,,9.1,,169.48,,7.33,,
DCI,Donaldson Company Inc. Common Stock,65.66,127124,23.92,,6.93,,2.42,,15.11,,2.49,,
DCO,Ducommun Incorporated Common Stock,55.775,6830,23.82,,1.28,,0.96,,11.93,,1.28,,
DCOM,Dime Community Bancshares Inc. Common Stock,30.37,30307,8.21,,1.12,,2.85,,,,,,
DCP,DCP Midstream  LP Common Units ,41.76,185641,8.87,,1.45,,0.58,,8.07,,0.91,,
DCPH,Deciphera Pharmaceuticals Inc. Common Stock,14.545,113815,,,3.22,,8.17,,-4.48,,6.01,,
DCT,Duck Creek Technologies Inc. Common Stock,18.92,359276,,,3.44,,8.08,,277.94,,7.33,,
DCTH,Delcath Systems Inc. Common Stock,4.8,2102,,,,,9.98,,-1.97,,13.56,,
DD,DuPont de Nemours Inc. Common Stock,73.98,784757,36.15,,1.26,,2.8,,11.73,,2.81,,
DDD,3D Systems Corporation Common Stock,10.5087,557721,,,1.9,,2.46,,-22.44,,2.31,,
DDF,Delaware Investments Dividend & Income Fund Inc. Common Stock,7.565,18111,8.37,,0.81,,258.42,,,,,,
DDOG,Datadog Inc. Class A Common Stock,73.3,2023284,,,17.06,,14.16,,,,13.74,,
DDS,Dillard's Inc. Common Stock,357.85,37746,6.98,,3.77,,0.89,,4.39,,0.83,,
DE,Deere & Company Common Stock,422.155,302492,15.6,,5.83,,2.32,,12.71,,3.17,,
DECK,Deckers Outdoor Corporation Common Stock,414.25,66467,22.59,,6.2,,3.14,,14.82,,2.83,,
DELL,Dell Technologies Inc. Class C Common Stock ,39.094,2319145,17.36,,,,0.3,,8.02,,0.5,,
DENN,Denny's Corporation Common Stock,12.025,117864,9.59,,,,1.57,,8.47,,2.35,,
DEO,Diageo plc Common Stock,174.315,202693,23.36,,10.15,,4.96,,18.41,,6.82,,
DESP,Despegar.com Corp. Ordinary Shares,6.21,256471,,,,,1.32,,-7.11,,0.63,,
DFFN,Diffusion Pharmaceuticals Inc. Common Stock,6.0208,4860,115.0,,0.49,,,,1.69,,,,
DFIN,Donnelley Financial Solutions Inc. Common Stock ,41.46,30346,13.31,,3.7,,1.64,,6.6,,1.68,,
DFS,Discover Financial Services Common Stock,111.0,540325,7.23,,2.17,,2.33,,,,,,
DG,Dollar General Corporation Common Stock,213.55,692060,20.8,,7.84,,1.35,,16.42,,1.76,,
DGHI,Digihost Technology Inc. Common Subordinate Voting Shares,1.2599,45577,5.0,,0.74,,1.4,,2.32,,1.4,,
DGICA,Donegal Group Inc. Class A Common Stock,15.4729,9549,,,1.04,,0.58,,,,0.6,,
DGICB,Donegal Group Inc. Class B Common Stock,15.1,591,,,1.03,,0.58,,,,0.6,,
DGII,Digi International Inc. Common Stock,33.78,67676,49.81,,2.34,,2.93,,17.15,,3.43,,
DGLY,Digital Ally Inc. Common Stock,4.85,17016,,,0.26,,0.29,,-1.45,,0.21,,
DGX,Quest Diagnostics Incorporated Common Stock,139.1,1038750,17.36,,2.61,,1.65,,10.88,,2.0,,
DH,Definitive Healthcare Corp. Class A Common Stock,11.46,105553,,,1.29,,5.2,,45.44,,5.28,,
DHC,Diversified Healthcare Trust Common Shares of Beneficial Interest,1.56,23593983,0.47,,0.07,,0.15,,2.93,,2.0,,
DHF,BNY Mellon High Yield Strategies Fund Common Stock,2.22,250463,12.19,,0.92,,,,,,,,
DHI,D.R. Horton Inc. Common Stock,89.82,1054248,5.74,,1.58,,0.97,,4.72,,1.04,,
DHIL,Diamond Hill Investment Group Inc. Class A Common Stock,174.05,3001,13.48,,3.37,,3.61,,7.59,,3.23,,
DHR,Danaher Corporation Common Stock,247.24,642542,25.62,,3.73,,5.8,,18.35,,6.25,,
DHT,DHT Holdings Inc.,11.685,710961,31.27,,1.76,,4.2,,10.15,,4.74,,
DHX,DHI Group Inc. Common Stock,4.22,31580,47.11,,1.94,,1.32,,10.66,,1.61,,
DHY,Credit Suisse High Yield Bond Fund Common Stock,1.91,57532,,,0.96,,,,,,,,
DIBS,1stdibs.com Inc. Common Stock,4.695,119786,,,1.19,,1.74,,-2.44,,0.46,,
DICE,DICE Therapeutics Inc. Common Stock,30.79,65443,12.33,,5.74,,,,-16.68,,,,
DIN,Dine Brands Global Inc. Common Stock,74.03,91651,14.56,,,,1.26,,11.62,,2.8,,
DINO,HF Sinclair Corporation Common Stock,51.7,835476,3.61,,1.09,,0.27,,2.53,,0.32,,
DIOD,Diodes Incorporated Common Stock,91.345,20536,12.84,,2.78,,2.13,,7.66,,2.04,,
DIS,Walt Disney Company (The) Common Stock,97.76,2651215,54.73,,1.89,,2.16,,18.15,,2.63,,
DISH,DISH Network Corporation Class A Common Stock,10.74,5858201,3.1,,0.33,,0.43,,7.12,,1.64,,
DIT,AMCON Distributing Company Common Stock,169.51,11,6.08,,1.09,,0.05,,9.25,,0.13,,
DJCO,Daily Journal Corp. (S.C.) Common Stock,295.52,309,,,2.05,,7.4,,-1.87,,3.01,,
DK,Delek US Holdings Inc. Common Stock,25.55,808604,7.19,,1.83,,0.09,,7.18,,0.2,,
DKNG,DraftKings Inc. Class A Common Stock,18.22,5128847,,,6.26,,3.57,,-6.17,,3.7,,
DLA,Delta Apparel Inc. Common Stock,13.03,5737,7.22,,0.5,,0.19,,8.46,,0.68,,
DLB,Dolby Laboratories Common Stock,82.375,61932,44.24,,3.45,,6.67,,22.22,,5.8,,
DLHC,DLH Holdings Corp.,12.72,27788,10.38,,1.7,,0.56,,11.6,,1.22,,
DLNG,Dynagas LNG Partners LP Common Units,3.08,6128,2.38,,0.27,,0.86,,4.85,,4.11,,
DLPN,Dolphin Entertainment Inc. Common Stock,1.88,8138,,,0.74,,0.48,,-17.95,,0.72,,
DLR,Digital Realty Trust Inc. Common Stock,100.005,759306,90.84,,1.74,,6.4,,20.98,,10.23,,
DLTH,Duluth Holdings Inc. Class B Common Stock,6.02,24320,16.58,,0.9,,0.29,,7.99,,0.59,,
DLTR,Dollar Tree Inc. Common Stock,144.74,1383418,20.54,,3.74,,1.17,,14.29,,1.53,,
DLX,Deluxe Corporation Common Stock,18.04,23750,12.29,,1.32,,0.36,,7.01,,1.1,,
DM,Desktop Metal Inc. Class A Common Stock,1.8415,21644090,,,0.59,,2.25,,-0.92,,1.94,,
DMAC,DiaMedica Therapeutics Inc. Common Stock,1.8,2653,,,1.3,,,,-0.76,,,,
DMLP,Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests,30.97,64282,9.24,,6.22,,6.94,,7.47,,6.56,,
